BR1	BR2	ED1	ED2
peak_1	1373	0	0	0
peak_2	2526	2530	2533	0
peak_3	10881	11026	11853	11496
peak_4	17342	0	0	0
peak_5	26213	0	0	0
peak_6	28094	27622	27617	27630
peak_7	42297	0	0	0
peak_8	0	91088	93179	0
peak_9	0	100804	99906	101888
peak_10	0	106363	106362	106357
peak_11	0	111874	111879	0
peak_12	0	114325	114302	0
peak_13	0	121159	117239	122137
peak_14	123306	123349	123278	0
peak_15	140424	140482	140485	0
peak_16	175036	173773	175005	173796
peak_17	0	0	209406	0
peak_18	221183	0	0	0
peak_19	0	224514	224523	224518
peak_20	0	0	0	229408
peak_21	262825	0	0	0
peak_22	264541	0	0	0
peak_23	266622	266746	266116	266697
peak_24	0	355147	0	0
peak_25	0	362277	362285	0
peak_26	380826	380818	380769	0
peak_27	0	0	0	409164
peak_28	424936	0	0	0
peak_29	0	0	0	428652
peak_30	0	522486	522479	522481
peak_31	528496	0	0	528525
peak_32	531176	531175	531182	531181
peak_33	0	551207	551225	0
peak_34	0	0	0	562721
peak_35	567078	566994	566945	567087
peak_36	0	635357	635353	635283
peak_37	0	0	0	655709
peak_38	663520	0	0	0
peak_39	0	0	0	689422
peak_40	0	738888	739193	738940
